url,avilability,price
https://www.tiendacanon.com.mx/es/catalogo/kit-t100-reempacada-curso,"Disponible
						"," $7,999.00 "
https://www.tiendacanon.com.mx/es/catalogo/kit-reempacada-m200-curso,"Disponible
						"," $9,099.00 "
https://www.tiendacanon.com.mx/es/catalogo/por-funciones/equipos-tinta-continua/impresora-inyecciondetinta-g1110-canon,"Disponible
						"," $2,998.99 "
https://www.tiendacanon.com.mx/es/catalogo/rebel-t8i-ef18-55mm-curso-online,"Disponible
						"," $18,269.10 "
https://www.tiendacanon.com.mx/es/catalogo/impresora-multifuncional-g3110-canon,"Disponible
						"," $3,999.00 "
https://www.tiendacanon.com.mx/es/catalogo/lente-rf-35mm-f1-8-macro-is-stm,"Disponible
						"," $11,874.05 "
https://www.tiendacanon.com.mx/es/catalogo/g2110-multifuncional-canon,"Disponible
						"," $3,649.00 "
https://www.tiendacanon.com.mx/es/catalogo/kit-t7-efs-18-55mm,"Disponible
						"," $11,599.00 "
https://www.tiendacanon.com.mx/es/catalogo/multifuncional-g2160,"Disponible
						"," $3,999.00 "
https://www.tiendacanon.com.mx/es/catalogo/impresoras-multifuncionales/equipos-tinta-continua/impresora-multifuncional-g4110-canon,"Disponible
						"," $5,499.00 "
https://www.tiendacanon.com.mx/es/catalogo/d570-laser-multifuncional-canon,"Disponible
						"," $6,999.00 "
https://www.tiendacanon.com.mx/es/catalogo/pixma-gm2010,"Disponible
						"," $3,999.00 "
https://www.tiendacanon.com.mx/es/catalogo/impresora-imageclass-lbp162dw,"Disponible
						"," $4,099.00 "
https://www.tiendacanon.com.mx/es/catalogo/impresora-imageclass-lbp6230,"Disponible
						"," $5,898.99 "
https://www.tiendacanon.com.mx/es/catalogo/pixma-g5010,"Disponible
						"," $4,999.00 "
https://www.tiendacanon.com.mx/es/catalogo/impresora-pixma-g7010,"Disponible
						"," $7,499.01 "
https://www.tiendacanon.com.mx/es/catalogo/pixma-g2160-outlet-certificado,"Disponible
						"," $3,499.00 "
https://www.tiendacanon.com.mx/es/catalogo/eos-m50-mark-ii-maleta-sd32gb,"Disponible
						"," $14,499.00 "
https://www.tiendacanon.com.mx/es/catalogo/impresora-pixma-gm4010,"Disponible
						"," $6,299.00 "
https://www.tiendacanon.com.mx/es/catalogo/impresora-d1620-canon,"Disponible
						"," $16,449.00 "
https://www.tiendacanon.com.mx/es/catalogo/pixma-g3160-outlet,"Disponible
						"," $4,299.00 "
https://www.tiendacanon.com.mx/es/catalogo/escaner-dr-c240,"Disponible
						"," $13,299.01 "
https://www.tiendacanon.com.mx/es/catalogo/scaner-imageformula-p-208ii,"Disponible
						"," $4,499.00 "
https://www.tiendacanon.com.mx/es/catalogo/pixma-g6010,"Disponible
						"," $5,999.00 "
https://www.tiendacanon.com.mx/es/catalogo/gx-6010,"Disponible
						"," $10,399.05 "
https://www.tiendacanon.com.mx/es/catalogo/tipo-de-producto/equipos-tinta-continua/multifuncional-pixma-g3160,"Disponible
						"," $4,499.00 "
https://www.tiendacanon.com.mx/es/catalogo/impresora-pro-200,"Disponible
						"," $10,499.00 "
https://www.tiendacanon.com.mx/es/catalogo/pixma-g510,"Disponible
						"," $4,799.00 "
https://www.tiendacanon.com.mx/es/catalogo/dr-c225-12v-canon,"Disponible
						"," $11,299.00 "
https://www.tiendacanon.com.mx/es/catalogo/multifuncional-g3160-azul,"Disponible
						"," $4,499.00 "
https://www.tiendacanon.com.mx/es/catalogo/ta-20,"Agotado
						"," $16,999.00 "
https://www.tiendacanon.com.mx/es/catalogo/pro-300,"Disponible
						"," $12,998.99 "
https://www.tiendacanon.com.mx/es/catalogo/escaner-dr-c230,"Disponible
						"," $10,199.00 "
https://www.tiendacanon.com.mx/es/catalogo/pixma-g610,"Disponible
						"," $5,799.00 "
https://www.tiendacanon.com.mx/es/catalogo/impresora-imageclass-lbp622cdw,"Disponible
						"," $6,959.00 "
